[170, [3, 3, 3], [2, 2, 2], [43, 55, 57]]
[170, [3, 3, 3], [2, 2, 2], [43, 57, 55]]
[170, [3, 3, 3], [2, 2, 2], [45, 53, 57]]
[170, [3, 3, 3], [2, 2, 2], [45, 57, 53]]
[170, [3, 3, 3], [2, 2, 2], [47, 51, 57]]
[170, [3, 3, 3], [2, 2, 2], [47, 53, 55]]
[170, [3, 3, 3], [2, 2, 2], [47, 55, 53]]
[170, [3, 3, 3], [2, 2, 2], [47, 57, 51]]
[170, [3, 3, 3], [2, 2, 2], [49, 51, 55]]
[170, [3, 3, 3], [2, 2, 2], [49, 55, 51]]
[170, [3, 3, 3], [2, 2, 2], [51, 47, 57]]
[170, [3, 3, 3], [2, 2, 2], [51, 49, 55]]
[170, [3, 3, 3], [2, 2, 2], [51, 55, 49]]
[170, [3, 3, 3], [2, 2, 2], [51, 57, 47]]
[170, [3, 3, 3], [2, 2, 2], [53, 45, 57]]
[170, [3, 3, 3], [2, 2, 2], [53, 47, 55]]
[170, [3, 3, 3], [2, 2, 2], [53, 55, 47]]
[170, [3, 3, 3], [2, 2, 2], [53, 57, 45]]
[170, [3, 3, 3], [2, 2, 2], [55, 43, 57]]
[170, [3, 3, 3], [2, 2, 2], [55, 47, 53]]
